expr,time
sqlidx_make_fun(),207671314601
sql_make_fun(),159698293901
arrow_make_fun(),59337087801
duckdb_make_fun(),107282483102
rams_make_fun(),72013356501
duckdb_make_fun(),246359061201
rams_make_fun(),39530577301
msnexp_make_fun(),174594855602
sql_make_fun(),92173877201
ondisk_make_fun(),58244387100
spectra_make_fun(),32418387200
sql_make_fun(),87556105600
tmzml_make_fun(),233894365901
ondisk_make_fun(),54929997001
arrow_make_fun(),69872429301
sql_make_fun(),99607536201
arrow_make_fun(),73530619201
arrow_make_fun(),107802240002
spectra_make_fun(),57258795101
rams_make_fun(),43928589101
tmzml_make_fun(),248756348001
duckdb_make_fun(),132405346302
rams_make_fun(),57718879501
spectra_make_fun(),43912921002
ondisk_make_fun(),51810733301
sql_make_fun(),92030659202
rams_make_fun(),36829274800
spectra_make_fun(),39165949502
tmzml_make_fun(),255519757601
msnexp_make_fun(),178127773400
rams_make_fun(),41706812201
tmzml_make_fun(),234903318601
sqlidx_make_fun(),170217031601
rams_make_fun(),35862306701
spectra_make_fun(),40120475601
spectra_make_fun(),33337358402
spectra_make_fun(),30020078701
sqlidx_make_fun(),206652144602
sql_make_fun(),94309543401
msnexp_make_fun(),179485593901
rams_make_fun(),39122070401
tmzml_make_fun(),241104652101
ondisk_make_fun(),55430915100
sqlidx_make_fun(),192936971401
sql_make_fun(),92706397601
spectra_make_fun(),45868695501
tmzml_make_fun(),238016428501
arrow_make_fun(),73518378600
sqlidx_make_fun(),213907293501
msnexp_make_fun(),177336035001
sqlidx_make_fun(),202439489301
msnexp_make_fun(),178406471901
sql_make_fun(),92955927101
msnexp_make_fun(),177951585901
msnexp_make_fun(),174765452301
duckdb_make_fun(),142562384300
ondisk_make_fun(),54470893600
sqlidx_make_fun(),198125113901
arrow_make_fun(),71181920301
rams_make_fun(),56825793801
duckdb_make_fun(),152281114001
duckdb_make_fun(),148860587101
spectra_make_fun(),46906795400
sqlidx_make_fun(),204810691201
msnexp_make_fun(),190409054601
sql_make_fun(),99670830801
arrow_make_fun(),72540809601
arrow_make_fun(),91670526302
ondisk_make_fun(),65406335201
ondisk_make_fun(),55683577601
tmzml_make_fun(),239150561501
ondisk_make_fun(),53626954601
duckdb_make_fun(),120720744201
arrow_make_fun(),90316985201
tmzml_make_fun(),270135176801
arrow_make_fun(),72004880201
tmzml_make_fun(),266647046701
sqlidx_make_fun(),165711517601
msnexp_make_fun(),175574221302
duckdb_make_fun(),128106036801
sqlidx_make_fun(),201015413501
tmzml_make_fun(),231537249602
duckdb_make_fun(),139983951901
rams_make_fun(),45023582900
sql_make_fun(),101428873801
spectra_make_fun(),41180254201
ondisk_make_fun(),52041790500
msnexp_make_fun(),172928643301
duckdb_make_fun(),135414989202
ondisk_make_fun(),53558449200
