expr,time
arrow_loop_fun(),1362763901
rams_loop_fun(),3131982701
rams_loop_fun(),3593683202
duckdb_loop_fun(),122660301
duckdb_uni_fun(),2910828802
arrow_uni_fun(),924286901
arrow_loop_fun(),1279645701
sql_loop_fun(),2565293502
arrow_loop_fun(),1309186101
duckdb_loop_fun(),81215301
sql_uni_fun(),135313500
arrow_uni_fun(),1023519401
sql_uni_fun(),123028302
rams_uni_fun(),21488288401
sql_loop_fun(),2220427201
sql_uni_fun(),128096702
arrow_uni_fun(),1129393301
rams_loop_fun(),5105159901
rams_uni_fun(),19917746601
duckdb_loop_fun(),59012801
rams_loop_fun(),3420704402
sql_loop_fun(),255425802
duckdb_loop_fun(),57085401
duckdb_uni_fun(),2025597201
arrow_uni_fun(),855701401
arrow_uni_fun(),855364402
sql_loop_fun(),264790701
duckdb_uni_fun(),1986304501
duckdb_loop_fun(),55150001
sql_uni_fun(),120100902
rams_loop_fun(),3204779302
sql_uni_fun(),114697002
arrow_uni_fun(),863477901
arrow_loop_fun(),1198749701
rams_uni_fun(),21888668500
sql_uni_fun(),124196401
duckdb_uni_fun(),2046386200
rams_loop_fun(),3314347801
duckdb_loop_fun(),57127101
rams_uni_fun(),20306419102
rams_uni_fun(),20947016101
arrow_loop_fun(),1171010000
duckdb_uni_fun(),1986173702
duckdb_uni_fun(),2007488201
sql_loop_fun(),245164501
rams_uni_fun(),21731331000
arrow_uni_fun(),902786600
duckdb_uni_fun(),1998870101
arrow_loop_fun(),1264879701
rams_loop_fun(),3542515201
arrow_loop_fun(),1217320101
arrow_loop_fun(),1351637201
arrow_uni_fun(),1906171302
rams_uni_fun(),22196573100
duckdb_loop_fun(),55103501
duckdb_uni_fun(),2016474301
duckdb_loop_fun(),53287901
duckdb_uni_fun(),2015809401
sql_loop_fun(),258736001
rams_loop_fun(),3278083802
sql_uni_fun(),120995101
rams_uni_fun(),21160604401
rams_uni_fun(),20606902101
sql_uni_fun(),116387900
duckdb_uni_fun(),1994378402
sql_loop_fun(),257319401
sql_loop_fun(),255262701
rams_loop_fun(),3612088501
sql_uni_fun(),116344401
duckdb_loop_fun(),72254401
arrow_uni_fun(),875416401
duckdb_loop_fun(),62492101
sql_uni_fun(),116062000
rams_loop_fun(),3223112901
arrow_loop_fun(),1164892201
rams_uni_fun(),21432024401
sql_loop_fun(),251706501
sql_loop_fun(),246362702
arrow_loop_fun(),1124218001
arrow_uni_fun(),847951501
