expr,time
ondisk_query_fun(),35747657700
sql_query_fun(),12193377002
sqlidx_query_fun(),646320101
spectra_query_fun(),18448176901
ondisk_query_fun(),34129494701
arrow_query_fun(),1054060701
sql_query_fun(),8039015701
sql_query_fun(),7715878802
sql_query_fun(),7755119901
duckdb_query_fun(),237854002
spectra_query_fun(),19824666001
sql_query_fun(),7747281001
tmzml_query_fun(),2045087801
sqlidx_query_fun(),117763801
arrow_query_fun(),396130300
arrow_query_fun(),526747101
rams_query_fun(),431882001
duckdb_query_fun(),255745901
tmzml_query_fun(),3139247600
tmzml_query_fun(),3259807500
msnexp_query_fun(),115114108201
arrow_query_fun(),744940501
rams_query_fun(),388817301
duckdb_query_fun(),169301101
tmzml_query_fun(),1693502901
rams_query_fun(),377480901
msnexp_query_fun(),90972495301
sqlidx_query_fun(),127297001
tmzml_query_fun(),1885449702
msnexp_query_fun(),86669121301
sqlidx_query_fun(),82819901
sqlidx_query_fun(),122028901
arrow_query_fun(),267363501
sqlidx_query_fun(),103172201
spectra_query_fun(),20350910501
spectra_query_fun(),18546769400
ondisk_query_fun(),34581194701
sqlidx_query_fun(),95587900
ondisk_query_fun(),34276547302
arrow_query_fun(),729782401
msnexp_query_fun(),93225458701
msnexp_query_fun(),89043573201
ondisk_query_fun(),33313215402
rams_query_fun(),817469800
ondisk_query_fun(),36733247202
rams_query_fun(),843366400
tmzml_query_fun(),2312925902
rams_query_fun(),382824101
duckdb_query_fun(),137403501
msnexp_query_fun(),92986805502
arrow_query_fun(),802741601
duckdb_query_fun(),203100801
spectra_query_fun(),18304866101
sql_query_fun(),8799767501
spectra_query_fun(),19743953001
rams_query_fun(),401466802
arrow_query_fun(),286160402
ondisk_query_fun(),34132190801
tmzml_query_fun(),2418118500
spectra_query_fun(),20140323201
duckdb_query_fun(),190990801
sql_query_fun(),11840870801
arrow_query_fun(),334723501
tmzml_query_fun(),1855873201
ondisk_query_fun(),40188870401
msnexp_query_fun(),93106757701
sql_query_fun(),9834793902
sqlidx_query_fun(),638074701
rams_query_fun(),487186300
msnexp_query_fun(),90433531701
duckdb_query_fun(),641152102
spectra_query_fun(),17346836101
msnexp_query_fun(),89582408501
msnexp_query_fun(),89116713501
spectra_query_fun(),16920961401
ondisk_query_fun(),34637264801
sql_query_fun(),8053883301
duckdb_query_fun(),201382101
duckdb_query_fun(),196460101
sqlidx_query_fun(),101077501
duckdb_query_fun(),182779001
sqlidx_query_fun(),89893301
tmzml_query_fun(),1817039702
arrow_query_fun(),299269001
spectra_query_fun(),23826646701
rams_query_fun(),419381501
ondisk_query_fun(),40010575701
tmzml_query_fun(),2321083602
rams_query_fun(),372472301
sql_query_fun(),8788812701
